Short_Desc,MajorGroup,FdGp_Desc,GmWt_1,Vitamins,Value
"BUTTER,WITH SALT",Dairy and Egg,Dairy and Egg Products,227,Vit_A,3058
"BUTTER,WITH SALT",Dairy and Egg,Dairy and Egg Products,227,Vit_C,0
"BUTTER,WITH SALT",Dairy and Egg,Dairy and Egg Products,227,Vit_E,1.58
"BUTTER,WITH SALT",Dairy and Egg,Dairy and Egg Products,227,Thiamin,0.005
"BUTTER,WITH SALT",Dairy and Egg,Dairy and Egg Products,227,Riboflavin,0.034
"BUTTER,WITH SALT",Dairy and Egg,Dairy and Egg Products,227,Niacin,0.042
"BUTTER,WHIPPED,WITH SALT",Dairy and Egg,Dairy and Egg Products,151,Vit_A,3058
"BUTTER,WHIPPED,WITH SALT",Dairy and Egg,Dairy and Egg Products,151,Vit_C,0
"BUTTER,WHIPPED,WITH SALT",Dairy and Egg,Dairy and Egg Products,151,Vit_E,1.58
"BUTTER,WHIPPED,WITH SALT",Dairy and Egg,Dairy and Egg Products,151,Thiamin,0.005
"BUTTER,WHIPPED,WITH SALT",Dairy and Egg,Dairy and Egg Products,151,Riboflavin,0.034
"BUTTER,WHIPPED,WITH SALT",Dairy and Egg,Dairy and Egg Products,151,Niacin,0.042
"BUTTER OIL,ANHYDROUS",Dairy and Egg,Dairy and Egg Products,205,Vit_A,3750
"BUTTER OIL,ANHYDROUS",Dairy and Egg,Dairy and Egg Products,205,Vit_C,0
"BUTTER OIL,ANHYDROUS",Dairy and Egg,Dairy and Egg Products,205,Vit_E,2.8
"BUTTER OIL,ANHYDROUS",Dairy and Egg,Dairy and Egg Products,205,Thiamin,0.001
"BUTTER OIL,ANHYDROUS",Dairy and Egg,Dairy and Egg Products,205,Riboflavin,0.005
"BUTTER OIL,ANHYDROUS",Dairy and Egg,Dairy and Egg Products,205,Niacin,0.003
"CHEESE,BLUE",Dairy and Egg,Dairy and Egg Products,28.35,Vit_A,721
"CHEESE,BLUE",Dairy and Egg,Dairy and Egg Products,28.35,Vit_C,0
"CHEESE,BLUE",Dairy and Egg,Dairy and Egg Products,28.35,Vit_E,0.64
"CHEESE,BLUE",Dairy and Egg,Dairy and Egg Products,28.35,Thiamin,0.029
"CHEESE,BLUE",Dairy and Egg,Dairy and Egg Products,28.35,Riboflavin,0.382
"CHEESE,BLUE",Dairy and Egg,Dairy and Egg Products,28.35,Niacin,1.016
"CHEESE,BRICK",Dairy and Egg,Dairy and Egg Products,132,Vit_A,1083
"CHEESE,BRICK",Dairy and Egg,Dairy and Egg Products,132,Vit_C,0
"CHEESE,BRICK",Dairy and Egg,Dairy and Egg Products,132,Vit_E,0.5
"CHEESE,BRICK",Dairy and Egg,Dairy and Egg Products,132,Thiamin,0.014
"CHEESE,BRICK",Dairy and Egg,Dairy and Egg Products,132,Riboflavin,0.351
"CHEESE,BRICK",Dairy and Egg,Dairy and Egg Products,132,Niacin,0.118
"CHEESE,BRIE",Dairy and Egg,Dairy and Egg Products,240,Vit_A,667
